File,aid,Date,0,1,2,3
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018001_aid0001,aid0001,2018-01-01,447679,255005,12.0,3669
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018002_aid0001,aid0001,2018-01-02,432195,269862,14.0,3764
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018003_aid0001,aid0001,2018-01-03,285042,414046,9.0,4765
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018004_aid0001,aid0001,2018-01-04,241333,457111,16.0,5526
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018005_aid0001,aid0001,2018-01-05,182407,514754,18.0,6404
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018006_aid0001,aid0001,2018-01-06,206748,491349,7.0,5830
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018007_aid0001,aid0001,2018-01-07,335735,363443,2.0,4866
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018008_aid0001,aid0001,2018-01-08,412526,288902,1.0,3654
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018009_aid0001,aid0001,2018-01-09,413106,286074,1.0,4375
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018010_aid0001,aid0001,2018-01-10,490860,209931,1.0,3726
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018011_aid0001,aid0001,2018-01-11,534472,163812,1.0,4430
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018012_aid0001,aid0001,2018-01-12,568285,132671,4.0,3486
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018013_aid0001,aid0001,2018-01-13,514989,184944,4.0,3612
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018014_aid0001,aid0001,2018-01-14,507761,189770,5.0,4743
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018015_aid0001,aid0001,2018-01-15,432345,260843,3.0,6688
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018016_aid0001,aid0001,2018-01-16,362854,327684,6.0,8205
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018017_aid0001,aid0001,2018-01-17,456482,238623,5.0,5833
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018018_aid0001,aid0001,2018-01-18,476600,218684,5.0,5769
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018019_aid0001,aid0001,2018-01-19,496236,199084,3.0,5736
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018020_aid0001,aid0001,2018-01-20,483247,210151,3.0,6391
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018021_aid0001,aid0001,2018-01-21,482169,210695,3.0,6568
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018022_aid0001,aid0001,2018-01-22,461975,230067,11.0,6567
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018023_aid0001,aid0001,2018-01-23,436759,253944,15.0,7876
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018024_aid0001,aid0001,2018-01-24,416003,273762,10.0,7948
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018025_aid0001,aid0001,2018-01-25,378883,307187,13.0,10462
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018026_aid0001,aid0001,2018-01-26,359520,327074,9.0,10270
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018027_aid0001,aid0001,2018-01-27,282972,397104,9.0,12633
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018028_aid0001,aid0001,2018-01-28,224901,455601,16.0,12590
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018029_aid0001,aid0001,2018-01-29,318106,364717,5.0,12977
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018030_aid0001,aid0001,2018-01-30,322327,367423,4.0,8736
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018031_aid0001,aid0001,2018-01-31,322059,365589,8.0,9369
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018032_aid0001,aid0001,2018-02-01,328275,360745,7.0,8683
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018033_aid0001,aid0001,2018-02-02,238149,437143,14.0,18274
BRDF_Albedo_Band_Mandatory_Quality_shortwave_2018034_aid0001,aid0001,2018-02-03,181131,493672,28.0,19162
