File,aid,Date,0,1
BRDF_Albedo_Band_Mandatory_Quality_vis_2018001_aid0001,aid0001,2018-01-01,629715,77297
BRDF_Albedo_Band_Mandatory_Quality_vis_2018002_aid0001,aid0001,2018-01-02,628605,77964
BRDF_Albedo_Band_Mandatory_Quality_vis_2018003_aid0001,aid0001,2018-01-03,589986,114763
BRDF_Albedo_Band_Mandatory_Quality_vis_2018004_aid0001,aid0001,2018-01-04,534840,170058
BRDF_Albedo_Band_Mandatory_Quality_vis_2018005_aid0001,aid0001,2018-01-05,521174,183329
BRDF_Albedo_Band_Mandatory_Quality_vis_2018006_aid0001,aid0001,2018-01-06,559270,145364
BRDF_Albedo_Band_Mandatory_Quality_vis_2018007_aid0001,aid0001,2018-01-07,623748,80948
BRDF_Albedo_Band_Mandatory_Quality_vis_2018008_aid0001,aid0001,2018-01-08,620135,85481
BRDF_Albedo_Band_Mandatory_Quality_vis_2018009_aid0001,aid0001,2018-01-09,612033,92090
BRDF_Albedo_Band_Mandatory_Quality_vis_2018010_aid0001,aid0001,2018-01-10,632316,72691
BRDF_Albedo_Band_Mandatory_Quality_vis_2018011_aid0001,aid0001,2018-01-11,641488,61683
BRDF_Albedo_Band_Mandatory_Quality_vis_2018012_aid0001,aid0001,2018-01-12,647682,57186
BRDF_Albedo_Band_Mandatory_Quality_vis_2018013_aid0001,aid0001,2018-01-13,634880,69193
BRDF_Albedo_Band_Mandatory_Quality_vis_2018014_aid0001,aid0001,2018-01-14,623165,79667
BRDF_Albedo_Band_Mandatory_Quality_vis_2018015_aid0001,aid0001,2018-01-15,588329,112110
BRDF_Albedo_Band_Mandatory_Quality_vis_2018016_aid0001,aid0001,2018-01-16,557153,142209
BRDF_Albedo_Band_Mandatory_Quality_vis_2018017_aid0001,aid0001,2018-01-17,609666,91776
BRDF_Albedo_Band_Mandatory_Quality_vis_2018018_aid0001,aid0001,2018-01-18,618907,82628
BRDF_Albedo_Band_Mandatory_Quality_vis_2018019_aid0001,aid0001,2018-01-19,619600,81908
BRDF_Albedo_Band_Mandatory_Quality_vis_2018020_aid0001,aid0001,2018-01-20,615906,84408
BRDF_Albedo_Band_Mandatory_Quality_vis_2018021_aid0001,aid0001,2018-01-21,614468,85501
BRDF_Albedo_Band_Mandatory_Quality_vis_2018022_aid0001,aid0001,2018-01-22,608458,90715
BRDF_Albedo_Band_Mandatory_Quality_vis_2018023_aid0001,aid0001,2018-01-23,601863,97371
BRDF_Albedo_Band_Mandatory_Quality_vis_2018024_aid0001,aid0001,2018-01-24,600160,98141
BRDF_Albedo_Band_Mandatory_Quality_vis_2018025_aid0001,aid0001,2018-01-25,580830,116357
BRDF_Albedo_Band_Mandatory_Quality_vis_2018026_aid0001,aid0001,2018-01-26,559041,138497
BRDF_Albedo_Band_Mandatory_Quality_vis_2018027_aid0001,aid0001,2018-01-27,475774,217924
BRDF_Albedo_Band_Mandatory_Quality_vis_2018028_aid0001,aid0001,2018-01-28,462418,231701
BRDF_Albedo_Band_Mandatory_Quality_vis_2018029_aid0001,aid0001,2018-01-29,496890,199820
BRDF_Albedo_Band_Mandatory_Quality_vis_2018030_aid0001,aid0001,2018-01-30,537302,162042
BRDF_Albedo_Band_Mandatory_Quality_vis_2018031_aid0001,aid0001,2018-01-31,530101,167884
BRDF_Albedo_Band_Mandatory_Quality_vis_2018032_aid0001,aid0001,2018-02-01,534432,164216
BRDF_Albedo_Band_Mandatory_Quality_vis_2018033_aid0001,aid0001,2018-02-02,448657,246345
BRDF_Albedo_Band_Mandatory_Quality_vis_2018034_aid0001,aid0001,2018-02-03,423124,272320
BRDF_Albedo_Band_Mandatory_Quality_vis_2018035_aid0001,aid0001,2018-02-04,400862,294850
BRDF_Albedo_Band_Mandatory_Quality_vis_2018036_aid0001,aid0001,2018-02-05,411691,283439
BRDF_Albedo_Band_Mandatory_Quality_vis_2018037_aid0001,aid0001,2018-02-06,416493,279536
BRDF_Albedo_Band_Mandatory_Quality_vis_2018038_aid0001,aid0001,2018-02-07,440578,257339
BRDF_Albedo_Band_Mandatory_Quality_vis_2018039_aid0001,aid0001,2018-02-08,356710,338974
BRDF_Albedo_Band_Mandatory_Quality_vis_2018040_aid0001,aid0001,2018-02-09,234275,466863
BRDF_Albedo_Band_Mandatory_Quality_vis_2018041_aid0001,aid0001,2018-02-10,284162,417106
BRDF_Albedo_Band_Mandatory_Quality_vis_2018042_aid0001,aid0001,2018-02-11,345802,357846
BRDF_Albedo_Band_Mandatory_Quality_vis_2018043_aid0001,aid0001,2018-02-12,360839,341668
BRDF_Albedo_Band_Mandatory_Quality_vis_2018044_aid0001,aid0001,2018-02-13,372769,331044
BRDF_Albedo_Band_Mandatory_Quality_vis_2018045_aid0001,aid0001,2018-02-14,299579,390924
BRDF_Albedo_Band_Mandatory_Quality_vis_2018046_aid0001,aid0001,2018-02-15,215451,457880
BRDF_Albedo_Band_Mandatory_Quality_vis_2018047_aid0001,aid0001,2018-02-16,233786,445829
BRDF_Albedo_Band_Mandatory_Quality_vis_2018048_aid0001,aid0001,2018-02-17,243372,432924
BRDF_Albedo_Band_Mandatory_Quality_vis_2018049_aid0001,aid0001,2018-02-18,261755,416673
BRDF_Albedo_Band_Mandatory_Quality_vis_2018050_aid0001,aid0001,2018-02-19,294169,385540
BRDF_Albedo_Band_Mandatory_Quality_vis_2018051_aid0001,aid0001,2018-02-20,319507,373614
BRDF_Albedo_Band_Mandatory_Quality_vis_2018052_aid0001,aid0001,2018-02-21,320305,371082
BRDF_Albedo_Band_Mandatory_Quality_vis_2018053_aid0001,aid0001,2018-02-22,354514,336539
BRDF_Albedo_Band_Mandatory_Quality_vis_2018054_aid0001,aid0001,2018-02-23,418828,286241
BRDF_Albedo_Band_Mandatory_Quality_vis_2018055_aid0001,aid0001,2018-02-24,534990,171447
BRDF_Albedo_Band_Mandatory_Quality_vis_2018056_aid0001,aid0001,2018-02-25,625209,79725
BRDF_Albedo_Band_Mandatory_Quality_vis_2018057_aid0001,aid0001,2018-02-26,646069,59730
BRDF_Albedo_Band_Mandatory_Quality_vis_2018058_aid0001,aid0001,2018-02-27,642224,63681
BRDF_Albedo_Band_Mandatory_Quality_vis_2018059_aid0001,aid0001,2018-02-28,642124,61975
BRDF_Albedo_Band_Mandatory_Quality_vis_2018060_aid0001,aid0001,2018-03-01,658796,48063
BRDF_Albedo_Band_Mandatory_Quality_vis_2018061_aid0001,aid0001,2018-03-02,663040,43731
BRDF_Albedo_Band_Mandatory_Quality_vis_2018062_aid0001,aid0001,2018-03-03,664004,43190
BRDF_Albedo_Band_Mandatory_Quality_vis_2018063_aid0001,aid0001,2018-03-04,663489,43594
BRDF_Albedo_Band_Mandatory_Quality_vis_2018064_aid0001,aid0001,2018-03-05,663286,43579
BRDF_Albedo_Band_Mandatory_Quality_vis_2018065_aid0001,aid0001,2018-03-06,667779,40069
BRDF_Albedo_Band_Mandatory_Quality_vis_2018066_aid0001,aid0001,2018-03-07,669618,38341
BRDF_Albedo_Band_Mandatory_Quality_vis_2018067_aid0001,aid0001,2018-03-08,671481,36707
BRDF_Albedo_Band_Mandatory_Quality_vis_2018068_aid0001,aid0001,2018-03-09,673865,34389
BRDF_Albedo_Band_Mandatory_Quality_vis_2018069_aid0001,aid0001,2018-03-10,674762,33491
BRDF_Albedo_Band_Mandatory_Quality_vis_2018070_aid0001,aid0001,2018-03-11,674743,33476
BRDF_Albedo_Band_Mandatory_Quality_vis_2018071_aid0001,aid0001,2018-03-12,672586,35452
BRDF_Albedo_Band_Mandatory_Quality_vis_2018072_aid0001,aid0001,2018-03-13,668763,38823
BRDF_Albedo_Band_Mandatory_Quality_vis_2018073_aid0001,aid0001,2018-03-14,668947,38409
BRDF_Albedo_Band_Mandatory_Quality_vis_2018074_aid0001,aid0001,2018-03-15,670237,37532
BRDF_Albedo_Band_Mandatory_Quality_vis_2018075_aid0001,aid0001,2018-03-16,671365,36570
BRDF_Albedo_Band_Mandatory_Quality_vis_2018076_aid0001,aid0001,2018-03-17,671347,36515
BRDF_Albedo_Band_Mandatory_Quality_vis_2018077_aid0001,aid0001,2018-03-18,667333,39787
BRDF_Albedo_Band_Mandatory_Quality_vis_2018078_aid0001,aid0001,2018-03-19,669091,38679
BRDF_Albedo_Band_Mandatory_Quality_vis_2018079_aid0001,aid0001,2018-03-20,668241,39697
BRDF_Albedo_Band_Mandatory_Quality_vis_2018080_aid0001,aid0001,2018-03-21,669114,38986
BRDF_Albedo_Band_Mandatory_Quality_vis_2018081_aid0001,aid0001,2018-03-22,665203,42514
BRDF_Albedo_Band_Mandatory_Quality_vis_2018082_aid0001,aid0001,2018-03-23,660885,46690
BRDF_Albedo_Band_Mandatory_Quality_vis_2018083_aid0001,aid0001,2018-03-24,656319,50237
BRDF_Albedo_Band_Mandatory_Quality_vis_2018084_aid0001,aid0001,2018-03-25,649619,56648
BRDF_Albedo_Band_Mandatory_Quality_vis_2018085_aid0001,aid0001,2018-03-26,641795,64483
BRDF_Albedo_Band_Mandatory_Quality_vis_2018086_aid0001,aid0001,2018-03-27,638922,67396
BRDF_Albedo_Band_Mandatory_Quality_vis_2018087_aid0001,aid0001,2018-03-28,641080,65306
BRDF_Albedo_Band_Mandatory_Quality_vis_2018088_aid0001,aid0001,2018-03-29,645431,61215
BRDF_Albedo_Band_Mandatory_Quality_vis_2018089_aid0001,aid0001,2018-03-30,639409,67310
BRDF_Albedo_Band_Mandatory_Quality_vis_2018090_aid0001,aid0001,2018-03-31,592956,110347
BRDF_Albedo_Band_Mandatory_Quality_vis_2018091_aid0001,aid0001,2018-04-01,490886,209647
