File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018001_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-01,706497.0,0.0,1.358,"(0.0,1.358)",0.2057,0.0712,0.0051,0.25,0.361,0.21,0.065,0.176
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018001_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-01,706497.0,0.0,0.869,"(0.0,0.869)",0.1274,0.0625,0.0039,0.165,0.28,0.127,0.0,0.088
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018001_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-01,706497.0,0.0,0.539,"(0.0,0.539)",0.0292,0.0205,0.0004,0.042,0.084,0.027,0.0,0.014
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018002_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-02,705994.0,0.0,1.355,"(0.0,1.355)",0.2055,0.0712,0.0051,0.25,0.362,0.21,0.063,0.175
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018002_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-02,705994.0,0.0,0.869,"(0.0,0.869)",0.1268,0.0628,0.0039,0.165,0.282,0.127,0.0,0.087
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018002_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-02,705994.0,0.0,0.538,"(0.0,0.538)",0.029,0.0206,0.0004,0.041,0.083,0.027,0.0,0.013
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018003_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-03,703997.0,0.0,1.352,"(0.0,1.352)",0.2068,0.072,0.0052,0.251,0.365,0.212,0.061,0.175
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018003_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-03,703997.0,0.0,1.762,"(0.0,1.762)",0.126,0.0654,0.0043,0.165,0.286,0.125,0.0,0.084
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018003_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-03,703997.0,0.0,0.536,"(0.0,0.536)",0.0299,0.0216,0.0005,0.043,0.088,0.028,0.0,0.013
MCD43A1_006_BRDF_Albedo_Parameters_nir_0_doy2018004_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-04,704111.0,0.0,0.691,"(0.0,0.691)",0.2072,0.0721,0.0052,0.252,0.367,0.212,0.06,0.175
MCD43A1_006_BRDF_Albedo_Parameters_nir_1_doy2018004_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-04,704111.0,0.0,1.735,"(0.0,1.735)",0.1268,0.0655,0.0043,0.166,0.287,0.127,0.0,0.085
MCD43A1_006_BRDF_Albedo_Parameters_nir_2_doy2018004_aid0001,BRDF_Albedo_Parameters_nir,aid0001,2018-01-04,704111.0,0.0,0.254,"(0.0,0.254)",0.0303,0.0218,0.0005,0.044,0.09,0.028,0.0,0.013
