File,aid,Date,0,1,2,3
BRDF_Albedo_Band_Mandatory_Quality_nir_2018001_aid0001,aid0001,2018-01-01,455059,247716,15.0,3707
BRDF_Albedo_Band_Mandatory_Quality_nir_2018002_aid0001,aid0001,2018-01-02,439074,263086,16.0,3818
BRDF_Albedo_Band_Mandatory_Quality_nir_2018003_aid0001,aid0001,2018-01-03,290712,408476,17.0,4792
BRDF_Albedo_Band_Mandatory_Quality_nir_2018004_aid0001,aid0001,2018-01-04,247195,451342,30.0,5544
BRDF_Albedo_Band_Mandatory_Quality_nir_2018005_aid0001,aid0001,2018-01-05,186982,510284,35.0,6443
BRDF_Albedo_Band_Mandatory_Quality_nir_2018006_aid0001,aid0001,2018-01-06,211917,486278,12.0,5865
BRDF_Albedo_Band_Mandatory_Quality_nir_2018007_aid0001,aid0001,2018-01-07,341194,358064,7.0,4903
BRDF_Albedo_Band_Mandatory_Quality_nir_2018008_aid0001,aid0001,2018-01-08,419385,282123,2.0,3684
BRDF_Albedo_Band_Mandatory_Quality_nir_2018009_aid0001,aid0001,2018-01-09,418755,280510,1.0,4439
BRDF_Albedo_Band_Mandatory_Quality_nir_2018010_aid0001,aid0001,2018-01-10,497367,203490,3.0,3750
BRDF_Albedo_Band_Mandatory_Quality_nir_2018011_aid0001,aid0001,2018-01-11,541517,156854,4.0,4592
BRDF_Albedo_Band_Mandatory_Quality_nir_2018012_aid0001,aid0001,2018-01-12,575315,125718,5.0,3527
BRDF_Albedo_Band_Mandatory_Quality_nir_2018013_aid0001,aid0001,2018-01-13,521883,178114,6.0,3642
BRDF_Albedo_Band_Mandatory_Quality_nir_2018014_aid0001,aid0001,2018-01-14,514665,182939,6.0,4776
BRDF_Albedo_Band_Mandatory_Quality_nir_2018015_aid0001,aid0001,2018-01-15,439029,254218,5.0,6728
BRDF_Albedo_Band_Mandatory_Quality_nir_2018016_aid0001,aid0001,2018-01-16,368138,322480,11.0,8275
BRDF_Albedo_Band_Mandatory_Quality_nir_2018017_aid0001,aid0001,2018-01-17,462911,232274,8.0,5883
BRDF_Albedo_Band_Mandatory_Quality_nir_2018018_aid0001,aid0001,2018-01-18,483125,212235,8.0,5820
BRDF_Albedo_Band_Mandatory_Quality_nir_2018019_aid0001,aid0001,2018-01-19,503191,192206,6.0,5789
BRDF_Albedo_Band_Mandatory_Quality_nir_2018020_aid0001,aid0001,2018-01-20,489111,204396,6.0,6463
BRDF_Albedo_Band_Mandatory_Quality_nir_2018021_aid0001,aid0001,2018-01-21,487840,205155,6.0,6659
BRDF_Albedo_Band_Mandatory_Quality_nir_2018022_aid0001,aid0001,2018-01-22,467510,224690,13.0,6657
BRDF_Albedo_Band_Mandatory_Quality_nir_2018023_aid0001,aid0001,2018-01-23,441842,249010,17.0,7967
BRDF_Albedo_Band_Mandatory_Quality_nir_2018024_aid0001,aid0001,2018-01-24,420901,268993,16.0,8029
BRDF_Albedo_Band_Mandatory_Quality_nir_2018025_aid0001,aid0001,2018-01-25,383132,303061,16.0,10553
BRDF_Albedo_Band_Mandatory_Quality_nir_2018026_aid0001,aid0001,2018-01-26,363395,323331,11.0,10364
BRDF_Albedo_Band_Mandatory_Quality_nir_2018027_aid0001,aid0001,2018-01-27,286286,394104,10.0,12756
BRDF_Albedo_Band_Mandatory_Quality_nir_2018028_aid0001,aid0001,2018-01-28,228138,452696,19.0,12674
BRDF_Albedo_Band_Mandatory_Quality_nir_2018029_aid0001,aid0001,2018-01-29,321249,361858,7.0,13058
BRDF_Albedo_Band_Mandatory_Quality_nir_2018030_aid0001,aid0001,2018-01-30,325707,364312,12.0,8807
BRDF_Albedo_Band_Mandatory_Quality_nir_2018031_aid0001,aid0001,2018-01-31,325390,362509,17.0,9467
BRDF_Albedo_Band_Mandatory_Quality_nir_2018032_aid0001,aid0001,2018-02-01,331930,357316,13.0,8773
BRDF_Albedo_Band_Mandatory_Quality_nir_2018033_aid0001,aid0001,2018-02-02,241227,434312,28.0,18360
BRDF_Albedo_Band_Mandatory_Quality_nir_2018034_aid0001,aid0001,2018-02-03,184216,490768,45.0,19238
BRDF_Albedo_Band_Mandatory_Quality_nir_2018035_aid0001,aid0001,2018-02-04,139273,535493,52.0,19717
BRDF_Albedo_Band_Mandatory_Quality_nir_2018036_aid0001,aid0001,2018-02-05,142565,532104,61.0,19283
BRDF_Albedo_Band_Mandatory_Quality_nir_2018037_aid0001,aid0001,2018-02-06,152884,524321,55.0,17812
